scope,name,bytes,path
authored_available_checkout,vocabulary,1728,/home/li/wt/github.com/LiGoldragon/Curriculum/curriculum-data-only/skills/vocabulary.md
authored_available_checkout,voice-psyche,793,/home/li/wt/github.com/LiGoldragon/Curriculum/curriculum-data-only/skills/voice-psyche.md
generated_agents,agent-harness-packaging,1220,/home/li/primary/.agents/skills/agent-harness-packaging/SKILL.md
generated_agents,beads,3158,/home/li/primary/.agents/skills/beads/SKILL.md
generated_agents,behavior,1253,/home/li/primary/.agents/skills/behavior/SKILL.md
generated_agents,breaking-upgrades,771,/home/li/primary/.agents/skills/breaking-upgrades/SKILL.md
generated_agents,claude-harness,4881,/home/li/primary/.agents/skills/claude-harness/SKILL.md
generated_agents,codex-harness,2572,/home/li/primary/.agents/skills/codex-harness/SKILL.md
generated_agents,context-strata,1339,/home/li/primary/.agents/skills/context-strata/SKILL.md
generated_agents,correction,1010,/home/li/primary/.agents/skills/correction/SKILL.md
generated_agents,datom,6188,/home/li/primary/.agents/skills/datom/SKILL.md
generated_agents,deepseek-harness,1076,/home/li/primary/.agents/skills/deepseek-harness/SKILL.md
generated_agents,design,655,/home/li/primary/.agents/skills/design/SKILL.md
generated_agents,disk-hygiene,232,/home/li/primary/.agents/skills/disk-hygiene/SKILL.md
generated_agents,documentation-placement,972,/home/li/primary/.agents/skills/documentation-placement/SKILL.md
generated_agents,edit-coordination,445,/home/li/primary/.agents/skills/edit-coordination/SKILL.md
generated_agents,ethos,6866,/home/li/primary/.agents/skills/ethos/SKILL.md
generated_agents,feature-development,252,/home/li/primary/.agents/skills/feature-development/SKILL.md
generated_agents,field,6248,/home/li/primary/.agents/skills/field/SKILL.md
generated_agents,file-editing,1539,/home/li/primary/.agents/skills/file-editing/SKILL.md
generated_agents,flow-aspect,1731,/home/li/primary/.agents/skills/flow-aspect/SKILL.md
generated_agents,flow-communication,1693,/home/li/primary/.agents/skills/flow-communication/SKILL.md
generated_agents,flow-evidence,497,/home/li/primary/.agents/skills/flow-evidence/SKILL.md
generated_agents,herdr,1865,/home/li/primary/.agents/skills/herdr/SKILL.md
generated_agents,lojix,13318,/home/li/primary/.agents/skills/lojix/SKILL.md
generated_agents,main-feature-integration,223,/home/li/primary/.agents/skills/main-feature-integration/SKILL.md
generated_agents,main-flow,6341,/home/li/primary/.agents/skills/main-flow/SKILL.md
generated_agents,messaging,2238,/home/li/primary/.agents/skills/messaging/SKILL.md
generated_agents,metaflow,1577,/home/li/primary/.agents/skills/metaflow/SKILL.md
generated_agents,nexus,7084,/home/li/primary/.agents/skills/nexus/SKILL.md
generated_agents,nexus-rationale,975,/home/li/primary/.agents/skills/nexus-rationale/SKILL.md
generated_agents,nix-input-upgrade,2382,/home/li/primary/.agents/skills/nix-input-upgrade/SKILL.md
generated_agents,nix-workflow,1242,/home/li/primary/.agents/skills/nix-workflow/SKILL.md
generated_agents,operating-system,623,/home/li/primary/.agents/skills/operating-system/SKILL.md
