repo	before_main	before_drop_next	contained	residue_matches	after_main	result
signal-spirit	ef116222b1f16b42f506783aa1bf95b447bcf682	fdba56bc0c2220db7d7839701ca2885b482922ba	yes	12	fdba56bc0c2220db7d7839701ca2885b482922ba	landed
signal-system	97ca223e0b223d4d4f569c1767e9ae791e7a6d53	02d56b1434f128583a7c1ece0130f778335c1617	yes	9	02d56b1434f128583a7c1ece0130f778335c1617	landed
signal-terminal	bd858e0cb849ea94ff15090f118ff9f29f7f0956	1a0775bc460d7d2ab5c0f17375082c3bb00c8eb2	yes	8	1a0775bc460d7d2ab5c0f17375082c3bb00c8eb2	landed
signal-upgrade	571bc8b80bda06101369eb9d8cd7bc4f2388d33a	aec31f0a53ff6f35d94c3b4cd93844c7cbca65df	yes	9	aec31f0a53ff6f35d94c3b4cd93844c7cbca65df	landed
signal-version-handover	5cf233ab696cb10dd32a8c0a33509d4b19d89638	b69077f65259d9df4c7f74f7b57d834d06deb5bd	yes	5	b69077f65259d9df4c7f74f7b57d834d06deb5bd	landed
skills	075515e4e2d6c81be94c29774e265d79ac81886f	5ece730417fc6e874ae1d2347eb78d7d80478955	no	unknown	075515e4e2d6c81be94c29774e265d79ac81886f	blocked-not-contained
